average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,scenario,severity,severity_rank,method,seed,degradation_pct
8.278667534722222,25.58984375,60.65625,0.27840169270833337,0.6276041666666667,96.0,60.25,observation_noise,low,1,deeprm_inspired_pg,1,-0.7820790245729263
8.982356770833334,27.5234375,63.65625,0.259765625,0.6575520833333334,96.0,63.125,observation_noise,medium,2,deeprm_inspired_pg,1,7.651474168244544
9.527821180555556,28.881510416666664,69.46875,0.259033203125,0.6653645833333333,96.0,63.875,observation_noise,high,3,deeprm_inspired_pg,1,14.188739310459637
10.189409722222223,30.541666666666668,68.25,0.21875,0.71875,96.0,69.0,reward_corruption,low,1,deeprm_inspired_pg,1,22.1177253906494
3.912326388888889,13.135416666666666,72.0,0.5794270833333334,0.23958333333333334,96.0,23.0,reward_corruption,medium,2,deeprm_inspired_pg,1,-53.111670585297844
17.66111111111111,52.5,94.5,0.0,1.0,96.0,96.0,reward_corruption,high,3,deeprm_inspired_pg,1,111.66434323047795
6.5873432633064155,16.89494644490322,61.125,0.2314453125,0.44421710136019577,86.625,39.25,distribution_shift,low,1,deeprm_inspired_pg,1,-21.052210323037478
8.138449816769297,22.533441654032483,58.087499999999984,0.2539876302083333,0.5914280449787801,107.0,65.5,distribution_shift,medium,2,deeprm_inspired_pg,1,-2.4625560338087937
12.185075446241903,35.295361437550085,80.36249999999998,0.256591796875,0.745115543415112,147.125,110.375,distribution_shift,high,3,deeprm_inspired_pg,1,46.03531880392286
9.559331597222222,29.139322916666664,65.25,0.2431640625,0.68359375,96.0,65.625,co_tenant_interference,low,1,deeprm_inspired_pg,1,14.56638438650882
9.994292534722224,30.395833333333332,67.9375,0.230224609375,0.7018229166666666,96.0,67.375,co_tenant_interference,medium,2,deeprm_inspired_pg,1,19.779290901146485
10.680121527777779,32.513020833333336,70.9375,0.19930013020833334,0.734375,96.0,70.5,co_tenant_interference,high,3,deeprm_inspired_pg,1,27.998793200307965
