average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,method,seed,condition,adaptation_lag_steps,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
1.0928819444444444,3.2786458333333335,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,psaim_lite,6,clean,,0.007501867420262378,0.007859712987770358,0.04953610524535179,0.0,0.9544709115886566
3.2121638101402388,9.045560870800838,40.83749999999999,0.34659830729166663,0.2050281992882803,76.875,16.625,psaim_lite,6,stressed,16.5625,-0.015598383364321323,0.05439355643441129,0.08289635740220547,0.010193961206823587,0.8870244458286942
1.0503472222222223,3.151041666666667,3.0,0.24934895833333331,0.0234375,48.0,1.125,psaim_no_aleatoric,6,clean,,0.007494366678029901,0.007851797866943065,0.0,0.0,0.9544777903137333
3.196726547295486,9.080976015069446,36.85624999999999,0.34342447916666663,0.21238462568893784,76.875,17.25,psaim_no_aleatoric,6,stressed,13.125,0.03585932459237834,0.044928532182107545,0.0,0.0,0.777951050725415
1.2065972222222223,3.619791666666666,3.0,0.24739583333333331,0.031249999999999997,48.0,1.5,psaim_no_gate,6,clean,,0.007847849263290312,0.007847849263290312,0.047917671501636505,0.0,1.0
3.104430882627603,8.82559346010171,37.08749999999999,0.3406575520833333,0.20825868582356138,76.875,16.875,psaim_no_gate,6,stressed,13.3125,-0.31370202286951776,0.06027231211251183,0.08264907822012901,0.0069631654769182205,1.0
1.0763888888888888,3.229166666666667,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,psaim_no_freezing,6,clean,,0.007547350748472089,0.007907711681179944,0.048953812569379807,0.0,0.9544291765763919
3.110226737254874,9.010358562482091,40.62499999999999,0.34619140625,0.20645115188574575,76.875,16.75,psaim_no_freezing,6,stressed,15.208333333333332,-0.03333264651542542,0.061348576803969705,0.08801086898893118,0.011768177151679993,0.8673273295397024
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,7,clean,,,,,,
1.8848871336513007,5.895060910426453,16.399999999999995,0.36539713541666663,0.1108813602078123,75.75,9.125,heuristic_sjf_bestfit,7,stressed,14.979166666666668,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,7,clean,,,,,,
2.58776051466035,7.36491892034995,22.649999999999984,0.35514322916666663,0.15567485472849052,75.75,12.75,deeprm_inspired_pg,7,stressed,13.75,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,plain_dqn,7,clean,,,,,,
2.7105802418888727,7.646712569178844,23.29374999999999,0.35205078125,0.16216153100195696,75.75,13.0,plain_dqn,7,stressed,14.166666666666666,,,,,
