episode,regime,action,V_epi,V_ale,V_ale_excess,gate_h3,r_int,action_type,eval_episode,experiment,scenario,severity,method,method_label,seed,raw_var
85.0,high_entropy,0.0,0.0463586324972765,0.0905185788869857,0.0183656513690948,0.9024115445709644,-0.0638194710312918,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
86.0,high_entropy,0.0,0.0583333333333333,0.0984673872590065,0.0263144597411155,0.8934681539877428,-0.1115346636211029,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
87.0,high_entropy,0.0,0.0296866125387989,0.0874930992722511,0.0153401717543601,0.8508450260607378,-0.1089765847122242,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
88.0,high_entropy,0.0,0.0583333333333333,0.0851567238569259,0.013003796339035,0.8063720282883395,-0.1003547332936631,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
89.0,high_entropy,0.0,0.0729800449199761,0.0931157544255256,0.0209628269076347,0.8356108754992534,-0.1389668702896121,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
90.0,high_entropy,5.0,0.0875,0.0843787863850593,0.0325141511857509,0.8710761330683363,-0.1653034120620831,defer,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
91.0,high_entropy,3.0,0.1055289706022172,0.0886446237564086,0.0216985195875167,0.7239455349972185,-0.2630516316084013,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
92.0,high_entropy,0.0,0.0430820218427664,0.0701915845274925,0.0,0.7195587471942791,0.0310000456637776,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
93.0,high_entropy,0.0,0.0448129079765135,0.0780391991138458,0.0058862715959548,0.7414672823665219,-0.0567183743922432,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
94.0,high_entropy,2.0,0.2474873734152916,0.0,0.0,0.9209472136825126,0.2279228069684163,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
95.0,high_entropy,0.0,0.0463586324972765,0.0905185788869857,0.0183656513690948,0.9332517223740876,-0.0294010714629315,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
0.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
1.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
2.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
3.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
4.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
5.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
6.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
7.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
8.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
9.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
10.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
11.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
12.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
13.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
14.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
15.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
16.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
17.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
18.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
19.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9543446445961744,0.0074281849677385,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
20.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9544409514107582,0.0077456993753214,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
21.0,low_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9544409514107582,0.0074289345762121,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
22.0,low_entropy,0.0,0.0081154306758029,0.0471334867179393,0.0,0.9545370647505308,0.0077464793764673,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
23.0,high_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9545370647505308,0.0074296826787658,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
24.0,high_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9545370647505308,0.0074296826787658,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
25.0,high_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.947762763749944,0.0073769545986697,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
26.0,high_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9406311329614608,0.0073214452259097,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
27.0,high_entropy,5.0,0.0077835455040266,0.0470515824854373,0.0,0.9325951093198712,0.0072588964702239,defer,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
28.0,high_entropy,0.0,0.0296866125387989,0.0874930992722511,0.0153401717543601,0.9325951093198712,-0.0337217786982231,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
29.0,high_entropy,0.0,0.0281126765115874,0.084705501794815,0.0125525742769241,0.9319325081696196,-0.024633122253026,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
30.0,high_entropy,0.0,0.0281126765115874,0.084705501794815,0.0125525742769241,0.9312638736115412,-0.0251470027012853,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
31.0,high_entropy,0.0,0.0296866125387989,0.0874930992722511,0.0153401717543601,0.9253226062134722,-0.0404885827369987,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
32.0,high_entropy,0.0,0.0296866125387989,0.0874930992722511,0.0153401717543601,0.9129716043447372,-0.0519480762543469,allocate,1,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
