average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,severity_rank,method,method_label,seed,condition,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
17.58930121527778,52.21875,94.15625,0.0071614583333333,0.9934895833333334,96.0,95.375,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,9,stressed,482.8443428111203,0.0064292836889809,0.0080785963322877,0.0887038707733154,0.0004666969180107,0.9542802959325588
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,heuristic_breaking_shift,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,0,clean,0.0,,,,,
3.1046875,11.580729166666668,65.5,0.5909830729166667,0.1822916666666666,96.0,17.5,heuristic_breaking_shift,clean,clean,0,psaim_lite,Simplified PSAIM,0,clean,0.0,0.0116045521854836,0.0151908482354323,0.0380532694980502,0.0,0.7649321284486754
5.714409722222221,17.614583333333332,39.5,0.544921875,0.3125,96.0,30.0,heuristic_breaking_shift,duration_misreport,low,1,heuristic_sjf_bestfit,SJF best-fit heuristic,0,stressed,35.458249310671206,,,,,
3.102907986111111,11.55859375,66.25,0.5909830729166667,0.1796875,96.0,17.25,heuristic_breaking_shift,duration_misreport,low,1,psaim_lite,Simplified PSAIM,0,stressed,-0.0573170049767891,0.0091784389998583,0.0184771076456354,0.0361165474168956,0.0,0.490433954341134
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,heuristic_breaking_shift,duration_misreport,medium,2,heuristic_sjf_bestfit,SJF best-fit heuristic,0,stressed,43.69727149265403,,,,,
3.300499131944444,12.286458333333332,72.0,0.5821940104166667,0.1848958333333333,96.0,17.75,heuristic_breaking_shift,duration_misreport,medium,2,psaim_lite,Simplified PSAIM,0,stressed,6.306967511044004,0.0168407393272448,0.0334635038689172,0.0523764891549944,0.0018441034480929,0.6903540571779084
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,heuristic_breaking_shift,duration_misreport,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,0,stressed,43.69727149265403,,,,,
3.6519097222222223,13.768229166666668,73.875,0.5477701822916667,0.2213541666666666,96.0,21.25,heuristic_breaking_shift,duration_misreport,high,3,psaim_lite,Simplified PSAIM,0,stressed,17.625678018229614,0.0166219112767036,0.0349740192043707,0.0472334250807762,0.002983302809298,0.7386392945343382
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,heuristic_breaking_shift,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,1,clean,0.0,,,,,
3.684657118055555,13.64453125,73.625,0.5579427083333334,0.21875,96.0,21.0,heuristic_breaking_shift,clean,clean,0,psaim_lite,Simplified PSAIM,1,clean,0.0,0.032043733464316,0.0361569740998349,0.0463134045712649,0.0,0.8793594033698136
5.714409722222221,17.614583333333332,39.5,0.544921875,0.3125,96.0,30.0,heuristic_breaking_shift,duration_misreport,low,1,heuristic_sjf_bestfit,SJF best-fit heuristic,1,stressed,35.458249310671206,,,,,
3.098546006944444,11.524739583333332,64.4375,0.5904947916666667,0.1809895833333333,96.0,17.375,heuristic_breaking_shift,duration_misreport,low,1,psaim_lite,Simplified PSAIM,1,stressed,-15.906801971859196,0.0134560177721894,0.0163232698051793,0.038998685311526,0.0,0.8107849289964292
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,heuristic_breaking_shift,duration_misreport,medium,2,heuristic_sjf_bestfit,SJF best-fit heuristic,1,stressed,43.69727149265403,,,,,
3.1121310763888888,11.533854166666668,64.8125,0.591796875,0.1822916666666666,96.0,17.5,heuristic_breaking_shift,duration_misreport,medium,2,psaim_lite,Simplified PSAIM,1,stressed,-15.538109064780398,0.0080358188540762,0.0157371433277966,0.0440353075973689,0.0011724047362804,0.7322653612805325
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,heuristic_breaking_shift,duration_misreport,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,1,stressed,43.69727149265403,,,,,
3.0746744791666663,11.50390625,65.5,0.5896809895833334,0.1809895833333333,96.0,17.375,heuristic_breaking_shift,duration_misreport,high,3,psaim_lite,Simplified PSAIM,1,stressed,-16.554664907620637,-0.0146158832080642,0.0227218527792377,0.0453173401765525,0.0068922569043934,0.7687543920493967
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,heuristic_breaking_shift,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,2,clean,0.0,,,,,
3.6259331597222224,13.546875,72.8125,0.5533854166666667,0.2174479166666666,96.0,20.875,heuristic_breaking_shift,clean,clean,0,psaim_lite,Simplified PSAIM,2,clean,0.0,0.0218722004191889,0.0340418552102042,0.0476261456497013,0.0012645525857806,0.8002648159207706
5.714409722222221,17.614583333333332,39.5,0.544921875,0.3125,96.0,30.0,heuristic_breaking_shift,duration_misreport,low,1,heuristic_sjf_bestfit,SJF best-fit heuristic,2,stressed,35.458249310671206,,,,,
3.649934895833333,13.764322916666668,73.875,0.548583984375,0.2213541666666666,96.0,21.25,heuristic_breaking_shift,duration_misreport,low,1,psaim_lite,Simplified PSAIM,2,stressed,0.6619464577485381,0.0691010056391575,0.0792052968218414,0.0396720501594245,0.0002404199913144,0.8163333007738103
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,heuristic_breaking_shift,duration_misreport,medium,2,heuristic_sjf_bestfit,SJF best-fit heuristic,2,stressed,43.69727149265403,,,,,
3.107855902777777,11.66015625,66.25,0.587890625,0.1809895833333333,96.0,17.375,heuristic_breaking_shift,duration_misreport,medium,2,psaim_lite,Simplified PSAIM,2,stressed,-14.288108305452996,0.0045205572591665,0.0165252528355182,0.0418608151376247,0.0018314188346266,0.62464966051082
